,ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Region,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color,Certification.Body,altitude_mean_meters,ClusterAgg,ClusterKmeans
280,281,Arabica,"lin, che-hao krude 林哲豪",Taiwan,鄉舍咖啡 hometown coffee,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,83.83,0.0,Green,Specialty Coffee Association,525.0,9,0
281,282,Arabica,yasmin cofffee plantation plc,Ethiopia,,yasmin coffee plantation plc,oromia,METAD Agricultural Development plc,2014,"March 31st, 2015",yasmin Cofffee Plantation Plc,Other,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,83.83,0.12,Green,METAD Agricultural Development plc,1676.5,9,0
282,283,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Specialty Coffee Association,2014/2015,"October 16th, 2014",Ipanema Coffees,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,83.83,0.0,Green,Specialty Coffee Association,1200.0,2,0
283,284,Arabica,eric thormaehlen,Costa Rica,various,coricafe s.a.,central valley,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,83.83,0.1,Green,Specialty Coffee Association of Costa Rica,1300.0,2,4
284,285,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2014,"May 22nd, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,83.83,0.1,Green,Asociacion Nacional Del Café,1219.2,9,0
285,286,Arabica,ipanema coffees,Brazil,fazenda rio verde,ipanema coffees,south of minas,Specialty Coffee Association,2013/2014,"December 26th, 2013",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,83.83,0.1,Green,Specialty Coffee Association,1260.0,6,4
286,287,Arabica,garet alban,Ecuador,finca el trueno,sultana del cafe inc.,"province of manabi, ecuador",Specialty Coffee Association,2013,"October 4th, 2013",Garet Alban,Other,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,10.0,10.0,83.83,0.09,Bluish-Green,Specialty Coffee Association,800.0,6,4
287,288,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,Almacafé,2013,"September 3rd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,83.83,0.11,Green,Almacafé,1750.0,9,4
288,289,Arabica,juan luis alvarado romero,Guatemala,finca el morito,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2013,"April 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,83.83,0.11,Green,Asociacion Nacional Del Café,1310.64,6,4
289,290,Arabica,filemon mendoza campos,Mexico,predio cañada del encino,,petatlan,AMECAFE,2012,"July 26th, 2012",FILEMON MENDOZA CAMPOS,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,10.0,10.0,83.83,0.1,Green,AMECAFE,1218.0,2,0
290,291,Arabica,alfredo bojalil,Mexico,finca santa teresa,ecomtrading,"la concordia, chiapas",AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,10.0,10.0,83.83,0.11,,AMECAFE,1300.0,2,4
291,292,Arabica,jacques pereira carneiro,Brazil,fazenda do sertao,exportadora de cafés carmo de minas ltda,carmo de minas,NUCOFFEE,2011/2012,"December 21st, 2011",Jacques Pereira Carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,83.83,0.12,Green,NUCOFFEE,1250.0,9,0
292,293,Arabica,doi chaang coffee company,Thailand,"doi chaang coffee original co.,ltd",,"doi chaang village, chiang rai, thialand",Specialty Coffee Association,2011,"September 20th, 2011",Doi Chaang Coffee Company,Other,Not Specified,7.75,7.75,7.58,8.0,7.67,7.58,10.0,10.0,10.0,83.83,0.02,,Specialty Coffee Association,1499.9208,9,4
293,294,Arabica,doi tung development project,Thailand,doi tung development project,,,Specialty Coffee Association,2011,"August 16th, 2011",Doi Tung Development Project,Other,Not Specified,7.5,7.83,7.58,7.58,7.75,7.83,10.0,10.0,10.0,83.83,0.01,,Specialty Coffee Association,0.0,2,0
294,295,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,sidamo,Ethiopia Commodity Exchange,2010,"June 17th, 2010",Ethiopia Commodity Exchange,Other,Not Specified,7.58,7.83,7.58,8.0,7.83,7.5,10.0,10.0,10.0,83.83,0.1,,Ethiopia Commodity Exchange,0.0,6,4
295,296,Arabica,kennedy macharia,Kenya,,taylor winch (coffee) ltd,nyeri,Kenya Coffee Traders Association,,"January 11th, 2018",Kennedy Macharia,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,83.75,0.11,Green,Kenya Coffee Traders Association,1800.0,2,0
296,297,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,83.75,0.11,Green,Brazil Specialty Coffee Association,890.0,2,4
297,298,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,huila,Almacafé,2017,"September 28th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,83.75,0.11,Green,Almacafé,442.0,9,0
298,299,Arabica,"lin, che-hao krude 林哲豪",Taiwan,崁頭山咖啡館 (kan tou mountain coffee),taiwan coffee laboratory,"台南市東山區 (dongshan dist., tainan city)",Specialty Coffee Association,2016,"June 6th, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,83.75,0.0,Green,Specialty Coffee Association,750.0,2,0
299,300,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2016,"February 15th, 2017",Racafe & Cia S.C.A,Other,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,10.0,10.0,83.75,0.0,Green,Almacafé,0.0,2,4
300,301,Arabica,yunnan coffee exchange,China,pu’er specialty coffee cupping center,yunnan coffee exchange,yunnan,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,83.75,0.1,Green,Yunnan Coffee Exchange,1650.0,9,0
301,302,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,huila,Almacafé,2015/2016,"November 27th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,83.75,0.0,Green,Almacafé,442.0,9,0
302,303,Arabica,nile highland arabica coffee farmers,Uganda,erussi farmers group,nile highlands arabica coffee farmers,west nile,Uganda Coffee Development Authority,2013,"June 30th, 2014",Nile Highland Arabica Coffee Farmers,Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,83.75,0.12,Green,Uganda Coffee Development Authority,1400.0,9,0
303,304,Arabica,german negron,United States (Puerto Rico),hacienda caracolillo,"hacienda alto grande, llc.",yauco region,Specialty Coffee Association,2013,"June 9th, 2014",German Negron,Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,83.75,0.12,Green,Specialty Coffee Association,853.44,6,4
304,305,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2014,"February 5th, 2014",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,83.75,0.0,Green,Almacafé,1775.0,9,4
305,306,Arabica,olam agro colombia,Colombia,,olam international ltd,huila,Almacafé,2014,"January 24th, 2014",Olam Agro Colombia,Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,83.75,0.0,Green,Almacafé,1550.0,2,0
306,307,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,Almacafé,2013,"November 22nd, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,83.75,0.0,Blue-Green,Almacafé,1750.0,2,4
307,308,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,Almacafé,2013,"August 27th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,83.75,0.11,Green,Almacafé,1750.0,9,0
308,309,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,Specialty Coffee Association,2013,"May 2nd, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,83.75,0.0,Bluish-Green,Specialty Coffee Association,0.0,2,0
309,310,Arabica,saul m. hernandez ramirez,Mexico,naranjal,,"huazalingo, hidalgo",AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,83.75,0.13,,AMECAFE,700.0,2,0
310,311,Arabica,the coffee source inc.,Guatemala,several farms,the coffee source inc.,quetzaltenango,Specialty Coffee Association,2012,"May 24th, 2012",The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,83.75,0.11,Bluish-Green,Specialty Coffee Association,1300.0,2,4
311,312,Arabica,carcafe ltda ci,Colombia,,,cauca,Almacafé,11-Jan,"April 20th, 2011",CARCAFE LTDA CI,Other,Not Specified,7.83,7.83,7.58,7.33,7.42,7.67,10.0,10.0,10.0,83.75,0.1,,Almacafé,1600.0,9,0
312,313,Arabica,exportadora de cafe condor s.a,Colombia,,,cundinamarca,Almacafé,4T/10,"February 9th, 2011",Exportadora de Cafe Condor S.A,Other,Not Specified,7.75,7.67,7.25,7.25,7.58,8.5,10.0,10.0,10.0,83.75,0.06,,Almacafé,1600.0,10,6
313,314,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,kona,Specialty Coffee Association,,"June 29th, 2010",Kona Pacific Farmers Cooperative,Other,Not Specified,7.83,7.67,7.75,7.67,7.58,7.5,10.0,10.0,10.0,83.75,0.0,,Specialty Coffee Association,0.0,9,4
314,315,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,83.67,0.11,Green,Brazil Specialty Coffee Association,890.0,2,0
315,316,Arabica,kennedy macharia,Kenya,,taylor winch (coffee) ltd,meru county,Kenya Coffee Traders Association,2017,"September 1st, 2017",Kennedy Macharia,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,83.67,0.11,Bluish-Green,Kenya Coffee Traders Association,1700.0,9,0
316,317,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,comayagua,Instituto Hondureño del Café,2016,"May 11th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,83.67,0.1,Green,Instituto Hondureño del Café,1400.0,6,4
317,318,Arabica,"comercial internacional exportadora, s.a.",Nicaragua,santa matilde,"comercial internacional exportadora, s.a.",jinotega,Instituto Hondureño del Café,2016,"May 11th, 2017","COMERCIAL INTERNACIONAL EXPORTADORA, S.A.",Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,83.67,0.1,Green,Instituto Hondureño del Café,1250.0,6,4
318,319,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,83.67,0.11,Green,Brazil Specialty Coffee Association,934.0,9,0
319,320,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,taiwan coffee laboratory,"leye, alishan township, chiayi county",Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,83.67,0.1,Bluish-Green,Specialty Coffee Association,1200.0,6,4
320,321,Arabica,"ceca, s.a.",Costa Rica,,"ceca,s.a.",west valley,Specialty Coffee Association of Costa Rica,,"March 14th, 2016","CECA, S.A.",Other,Not Specified,7.33,7.67,7.67,7.5,7.67,7.5,10.0,10.0,10.0,83.67,0.11,Blue-Green,Specialty Coffee Association of Costa Rica,1350.0,2,0
321,322,Arabica,doi tung development project,Thailand,,doi tung development project,thailand,Specialty Coffee Association,2014,"June 9th, 2015",Doi Tung Development Project,Other,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,10.0,10.0,83.67,0.12,Bluish-Green,Specialty Coffee Association,800.0,9,0
322,323,Arabica,rob stephen,Colombia,,olam specialty coffee,huila,Specialty Coffee Association,2014/2015,"November 21st, 2014",Rob Stephen,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,10.0,10.0,83.67,0.11,,Specialty Coffee Association,1625.0,9,0
323,324,Arabica,juan luis alvarado romero,Guatemala,finca las cuevitas,exportcafe,huehuetenango,Asociacion Nacional Del Café,2014,"February 27th, 2014",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,83.67,0.1,Green,Asociacion Nacional Del Café,1356.6648,6,4
324,325,Arabica,exportadora de cafe condor s.a,Colombia,various,exportadora de cafe condor s.a,huila supremo,Almacafé,2013,"October 29th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,83.67,0.0,Green,Almacafé,1750.0,9,0
325,326,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2013,"August 16th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,83.67,0.0,Green,Almacafé,1900.0,9,0
326,327,Arabica,juan luis alvarado romero,Guatemala,la union monte verde,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2013,"May 30th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,83.67,0.12,Green,Asociacion Nacional Del Café,1310.64,2,4
327,328,Arabica,juan luis alvarado romero,Guatemala,el sacramento,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,83.67,0.11,Green,Asociacion Nacional Del Café,1310.64,10,0
328,329,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,Almacafé,2012,"November 22nd, 2012",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,83.67,0.11,Green,Almacafé,1750.0,9,0
329,330,Arabica,the coffee source inc.,Guatemala,finca quequesquez,the coffee source inc.,oriente,Specialty Coffee Association,2012,"August 23rd, 2012",The Coffee Source Inc.,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,83.67,0.11,Green,Specialty Coffee Association,1450.0,6,2
330,331,Arabica,juan luis alvarado romero,Guatemala,agropecuaria quiagral,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2012,"July 9th, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,83.67,0.11,Green,Asociacion Nacional Del Café,1310.64,10,0
331,332,Arabica,juan luis ortega carballo,Mexico,finca apoxtla,,xicotepec de juarez,AMECAFE,2012,"July 2nd, 2012",JUAN LUIS ORTEGA CARBALLO,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,83.67,0.12,Green,AMECAFE,1100.0,2,0
332,333,Arabica,ekai international company ltd.,Indonesia,"ijen highland, east java",scai,east java,Specialty Coffee Association of Indonesia,2012,"May 23rd, 2012",EKAI International Company Ltd.,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,83.67,0.12,Green,Specialty Coffee Association of Indonesia,1400.0,9,0
333,334,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.","sacatepequez, guatemala",Asociacion Nacional Del Café,2012,"April 30th, 2012",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,83.67,0.1,Green,Asociacion Nacional Del Café,1524.0,9,4
334,335,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,Specialty Coffee Association,,"April 21st, 2011",Kona Pacific Farmers Cooperative,Other,Not Specified,7.75,8.0,7.92,8.08,7.75,8.0,9.33,9.33,9.33,83.67,0.0,,Specialty Coffee Association,0.0,6,4
335,336,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,83.58,0.11,Green,Brazil Specialty Coffee Association,890.0,2,0
336,337,Arabica,juan luis alvarado romero,Guatemala,finca santa clara,exportcafe,huehuetenango,Asociacion Nacional Del Café,2016,"July 5th, 2016",Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,83.58,0.11,Green,Asociacion Nacional Del Café,1128.3696,9,4
337,338,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2016,"April 15th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,83.58,0.11,Green,Almacafé,0.0,2,0
338,339,Arabica,yunnan coffee exchange,China,menglian mang pan professional cooperative,yunnan coffee exchange,yunnan,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,83.58,0.1,Green,Yunnan Coffee Exchange,1100.0,2,0
339,340,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,83.58,0.12,Green,Almacafé,1775.0,2,4
340,341,Arabica,andreas kussmaul,Mexico,exportadora café california,exportadora café california,"chiapas, jaltenango",Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2014,"May 12th, 2015",ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,83.58,0.12,Green,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,1200.0,9,0
341,342,Arabica,essencecoffee,Ethiopia,lomi tasha,essence coffee,yirgacheffe,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,83.58,0.0,,Blossom Valley International,1850.0,9,0
342,343,Arabica,bulamburi coffee farmers association,Uganda,bulamburi coffee farmers,bulamburi coffee farmers association,eastern,Uganda Coffee Development Authority,2013,"June 27th, 2014",Bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,83.58,0.12,Green,Uganda Coffee Development Authority,1800.0,2,0
343,344,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,cundinamarca,Almacafé,2014,"June 24th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,83.58,0.0,Green,Almacafé,1600.0,9,4
344,345,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,santander,Almacafé,2014,"March 13th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,83.58,0.12,Green,Almacafé,1550.0,2,0
345,346,Arabica,compañia colombiana agroindustrial s.a,Colombia,,ecom cca sa,santander,Almacafé,2014,"March 21st, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,83.58,0.0,,Almacafé,1550.0,2,0
346,347,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon coffee 龍咖啡,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Blossom Valley International,2013/2014,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Natural / Experimental,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,83.58,0.11,Green,Blossom Valley International,1000.0,9,4
347,348,Arabica,racafe & cia s.c.a,Colombia,,c.i.racafe & cia s.c.a,huila,Almacafé,2012,"August 31st, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,83.58,0.11,Green,Almacafé,1775.0,2,4
348,349,Arabica,alfredo bojalil,Mexico,ojo de agua,ecomtrading,xalapa,AMECAFE,2012,"June 6th, 2012",ALFREDO BOJALIL,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,83.58,0.12,,AMECAFE,1000.0,2,0
349,350,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,cundinamarca,Almacafé,2012,"April 2nd, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,83.58,0.11,Green,Almacafé,2136.0,2,0
350,351,Arabica,nucoffee,Brazil,fazenda jericó,nucoffee,south of minas,NUCOFFEE,2012,"January 23rd, 2012",NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,83.58,0.12,Blue-Green,NUCOFFEE,1100.0,9,0
351,352,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,cundinamarca,Almacafé,2016,"February 20th, 2017",CARCAFE LTDA CI,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,83.5,0.0,Bluish-Green,Almacafé,1799.0,2,4
352,353,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,南投縣魚池鄉水社村中正路63-1號,宸嶧國際,,Blossom Valley International,2016 / 2017,"February 13th, 2017",CQI Taiwan ICP CQI台灣合作夥伴,Other,Not Specified,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,10.0,83.5,0.11,Blue-Green,Blossom Valley International,0.0,4,1
353,354,Arabica,"ceca, s.a.",Costa Rica,,"ceca,s.a.",tarrazu,Specialty Coffee Association of Costa Rica,2015,"June 6th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,83.5,0.0,Blue-Green,Specialty Coffee Association of Costa Rica,1850.0,9,0
354,355,Arabica,carcafe ltda ci,Colombia,,carcafe ltda,pitalito,Almacafé,2016,"April 7th, 2016",CARCAFE LTDA CI,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,83.5,0.0,Green,Almacafé,1000.0,2,0
355,356,Arabica,juan luis alvarado romero,Guatemala,la esperanza,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2016,"March 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,83.5,0.1,Bluish-Green,Asociacion Nacional Del Café,1219.2,9,0
356,357,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2015,"November 19th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,83.5,0.12,Green,Almacafé,1775.0,2,0
357,358,Arabica,damari absalome,"Tanzania, United Republic Of",ano family,tawoca,nkure- meru,Africa Fine Coffee Association,2015,"November 16th, 2015",Damari Absalome,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,83.5,0.13,Green,Africa Fine Coffee Association,1400.0,2,0
358,359,Arabica,aulia arif syahri,Indonesia,yusrin,pt. olam indonesia,bener meriah,Specialty Coffee Association,2015,"September 14th, 2015",Aulia Arif Syahri,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,83.5,0.13,Bluish-Green,Specialty Coffee Association,1500.0,2,4
359,360,Arabica,debesa agro industry plc,Ethiopia,,debesa agro industry plc,oromia,METAD Agricultural Development plc,2014,"March 31st, 2015",Debesa Agro Industry Plc,Other,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,83.5,0.1,,METAD Agricultural Development plc,1600.0,2,0
360,361,Arabica,federacion nacional de cafeteros,Colombia,,federacion nacional de cafeteros,huila,Almacafé,2014,"March 12th, 2015",Federacion Nacional de Cafeteros,Other,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,10.0,10.0,83.5,0.0,,Almacafé,0.0,9,4
361,362,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,Almacafé,2014,"January 22nd, 2015",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,83.5,0.11,Green,Almacafé,1850.0,6,4
362,363,Arabica,the coffee source inc.,Guatemala,several,the coffee source inc.,atitlan,Specialty Coffee Association of Costa Rica,2013,"December 18th, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,83.5,0.1,Green,Specialty Coffee Association of Costa Rica,1400.0,9,0
